File Name,Optimal,Greedy,Rand Best,Rand Worst,Rand Avg,Rand Std,Tabu Best,Tabu Worst,Tabu Avg,Tabu Std,GA Best,GA Worst,GA Avg,GA Std
A-n32-k5.vrp,784.0,1146.399631725379,1442.6600809599186,1642.386951200362,1582.231574040079,63.00713660188673,922.3203454438287,1082.1857893355716,999.8462598223307,51.66292650528567,1036.826576317043,1240.1229997901435,1154.5412698419345,61.83344852012602
A-n37-k6.vrp,949.0,1341.8779365605787,1716.3616548495977,1783.0473439398118,1742.175166152951,21.377948636897315,1039.3695393385733,1140.3814518896343,1087.5769512107681,31.327135053032286,1203.4946521998643,1411.2776935884817,1300.970995002784,58.83768657308341
A-n39-k5.vrp,822.0,1032.574615401068,1612.3553814655647,1757.482063361691,1679.558915795887,45.92595719420852,954.4888600070379,1156.1246391266181,1031.2468121017898,65.14909816642812,1189.3244446578092,1398.2582505339399,1290.0644450096866,60.383760379926564
A-n45-k6.vrp,944.0,1485.2990347176603,2158.0210707171673,2254.5463233875284,2201.2244185872273,32.54373951407957,1245.5357892620123,1455.8463179948837,1322.9425360580292,62.19949224599933,1455.4276842209,1761.8999359305851,1617.3169379345543,101.94633465689292
A-n48-k7.vrp,1073.0,1476.5729733586281,2213.962443575311,2402.0140707778055,2328.4323887327455,49.81640651019922,1295.4594616606732,1464.3790318390684,1376.973425752182,53.755847706520555,1633.2797238923074,1812.1580150872473,1740.690803122619,54.089969912537704
A-n54-k7.vrp,1167.0,1433.6426135922889,2615.006400934084,2725.831726546348,2669.044695379367,36.497174441373076,1527.0860705902442,1667.945000796605,1607.2984837766899,42.456677203023794,1818.2860053910733,2124.3578332726083,1997.4121771284822,94.74143695118376
A-n60-k9.vrp,1354.0,1969.9807053701643,2977.4741160522553,3124.8938037862936,3035.388326715281,38.151854830476026,1743.0410273648924,1973.2249672255648,1827.8492500874581,69.3374630453761,2124.266201751194,2351.155560037586,2283.7448168148157,64.73316497667822
