Instance,Optimal,Configuration,Best,Worst,Avg,Std
A-n32-k5.vrp,784.0,"{'max_iterations': 200, 'tabu_tenure': 5}",876.4824722428273,1146.7933025507366,968.1680996033031,71.75677822048762
A-n32-k5.vrp,784.0,"{'max_iterations': 500, 'tabu_tenure': 10}",858.4139679509435,973.7895109370769,917.7470962249943,31.845128110773985
A-n32-k5.vrp,784.0,"{'max_iterations': 1000, 'tabu_tenure': 15}",834.4073327105184,914.5687815605145,867.7949791920544,25.545338827491495
A-n60-k9.vrp,1354.0,"{'max_iterations': 200, 'tabu_tenure': 5}",1519.3944303697988,1746.0944636026522,1649.1117379043615,77.96887248120862
A-n60-k9.vrp,1354.0,"{'max_iterations': 500, 'tabu_tenure': 10}",1495.3885781140846,1622.6107343689985,1559.263213485622,39.067121138925835
A-n60-k9.vrp,1354.0,"{'max_iterations': 1000, 'tabu_tenure': 15}",1492.7227026167252,1733.1474528756596,1594.3324167899016,58.41013978778481
